name,popularity,track_number,type,duration_ms,artists_list,release_date,artist_name,artist_popularity,artist_followers,artist_genres,artist_main_artist
Double Fantasy (with Future),80,1,track,268235,"The Weeknd,Future",2023-04-21,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",True
"False Idols (with Lil Baby, Suzanna Son)",72,2,track,262229,"The Weeknd,Lil Baby,Suzanna Son",2023-06-30,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",True
You Right,69,1,track,186173,"Doja Cat,The Weeknd",2021-06-24,Doja Cat,87,27056797,"['dance pop', 'pop']",True
Boat,71,1,track,185675,Ed Sheeran,2023-05-05,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",True
2step (feat. Lil Baby),68,1,track,163449,"Ed Sheeran,Lil Baby",2022-04-22,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",True
Slide Away,72,7,track,233654,Miley Cyrus,2019-05-31,Miley Cyrus,82,22491587,['pop'],True
Rose Colored Lenses,68,3,track,223786,Miley Cyrus,2023-08-18,Miley Cyrus,82,22491587,['pop'],True
Adore You,71,1,track,278746,Miley Cyrus,2013-10-04,Miley Cyrus,82,22491587,['pop'],True
Island,65,12,track,239573,Miley Cyrus,2023-08-18,Miley Cyrus,82,22491587,['pop'],True
Enchanted (Taylor's Version),88,9,track,353253,Taylor Swift,2023-07-07,Taylor Swift,100,91129614,['pop'],True
Hits Different,83,21,track,234466,Taylor Swift,2023-05-26,Taylor Swift,100,91129614,['pop'],True
I Wish You Would (Taylor's Version),85,7,track,207650,Taylor Swift,2023-10-26,Taylor Swift,100,91129614,['pop'],True
Si Te Vas,74,2,track,210266,Shakira,1998-09-29,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",True
Tú,73,8,track,214133,Shakira,1998-09-29,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",True
Disturbia,83,13,track,238626,Rihanna,2008-06-02,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']",True
FourFiveSeconds,81,1,track,188238,"Rihanna,Kanye West,Paul McCartney",2015-01-24,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']",True
Take Care,79,5,track,277386,"Drake,Rihanna",2011-11-15,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",True
VULGAR (with Madonna),66,1,track,155258,"Sam Smith,Madonna",2023-06-09,Sam Smith,82,23263331,"['pop', 'uk pop']",True
I Feel Love,65,1,track,254453,Sam Smith,2019-11-01,Sam Smith,82,23263331,"['pop', 'uk pop']",True
Something To Hold On To (feat. Clementine Douglas),67,1,track,175748,"David Guetta,MORTEN,Clementine Douglas",2023-07-28,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",True
When Love Takes Over (feat. Kelly Rowland),74,1,track,191000,"David Guetta,Kelly Rowland",2010-11-22,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",True
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",76,10,track,192560,"David Guetta,AFROJACK,Bebe Rexha,Nicki Minaj",2014-11-21,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",True
Blind,80,6,track,150720,SZA,2022-12-09,SZA,87,15504565,"['pop', 'r&b', 'rap']",True
Awkward,80,20,track,178000,SZA,2022-06-09,SZA,87,15504565,"['pop', 'r&b', 'rap']",True
Childs Play (feat. Chance the Rapper),69,2,track,216234,"SZA,Chance the Rapper",2014-04-08,SZA,87,15504565,"['pop', 'r&b', 'rap']",True
I Do (feat. SZA),67,13,track,200205,"Cardi B,SZA",2018-04-06,Cardi B,77,22479448,"['pop', 'rap']",True
Drew Barrymore,75,4,track,231400,SZA,2017-06-09,SZA,87,15504565,"['pop', 'r&b', 'rap']",True
Wants and Needs (feat. Lil Baby),58,2,track,194089,"Drake,Lil Baby",2021-03-05,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",True
Laugh Now Cry Later (feat. Lil Durk),81,1,track,261492,"Drake,Lil Durk",2020-08-14,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",True
Snooze (Acoustic) (feat. Justin Bieber),81,1,track,190464,"SZA,Justin Bieber",2023-09-15,SZA,87,15504565,"['pop', 'r&b', 'rap']",True
Baby,84,1,track,214240,"Justin Bieber,Ludacris",2010-01-01,Justin Bieber,86,74403685,"['canadian pop', 'pop']",True
Beauty And A Beat,82,10,track,227986,"Justin Bieber,Nicki Minaj",2012-06-15,Justin Bieber,86,74403685,"['canadian pop', 'pop']",True
There She Go (feat. Lil Uzi Vert),57,17,track,215019,"Justin Bieber,Lil Uzi Vert",2021-03-26,Justin Bieber,86,74403685,"['canadian pop', 'pop']",True
Not Afraid,82,7,track,248133,Eminem,2010-06-18,Eminem,87,77926307,"['detroit hip hop', 'hip hop', 'rap']",True
Stan,84,3,track,404106,"Eminem,Dido",2000-05-23,Eminem,87,77926307,"['detroit hip hop', 'hip hop', 'rap']",True
Sing For The Moment,79,12,track,339546,Eminem,2002-05-26,Eminem,87,77926307,"['detroit hip hop', 'hip hop', 'rap']",True
River (feat. Ed Sheeran),75,5,track,221013,"Eminem,Ed Sheeran",2017-12-15,Eminem,87,77926307,"['detroit hip hop', 'hip hop', 'rap']",True
Matilda,83,7,track,245964,Harry Styles,2022-05-20,Harry Styles,83,29970267,['pop'],True
Love Of My Life,78,13,track,191638,Harry Styles,2022-05-20,Harry Styles,83,29970267,['pop'],True
Falling,85,6,track,240133,Harry Styles,2019-12-13,Harry Styles,83,29970267,['pop'],True
Little Freak,80,6,track,202183,Harry Styles,2022-05-20,Harry Styles,83,29970267,['pop'],True
Keep Driving,80,10,track,140241,Harry Styles,2022-05-20,Harry Styles,83,29970267,['pop'],True
MR. OCTOBER,89,5,track,189258,Bad Bunny,2023-10-13,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
UN PREVIEW,91,1,track,165582,Bad Bunny,2023-09-25,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
WHERE SHE GOES,90,1,track,231704,Bad Bunny,2023-05-18,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
Tití Me Preguntó,87,4,track,243716,Bad Bunny,2022-05-06,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
DÁKITI,81,1,track,205090,"Bad Bunny,Jhayco",2020-10-30,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
