name,popularity,duration_ms,artist,artists_list,release_date,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,artist_name,artist_popularity,artist_followers,artist_genres,music_file
Love Me Harder,46,236133,Ariana Grande,"Ariana Grande,The Weeknd",2014-08-25,0.00937,0.472,0.714,0.0,0.0764,-4.389,0.0334,98.992,4,0.24,Ariana Grande,85,94489318,['pop'],Love Me Again - RAYE (128).wav
In Your Eyes,78,237520,The Weeknd,The Weeknd,2020-03-20,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,4,0.717,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",In Your Eyes - The Weeknd (128).wav
I Was Never There,85,241067,The Weeknd,"The Weeknd,Gesaffelstein",2018-03-30,0.142,0.323,0.737,0.000162,0.163,-4.008,0.0338,113.26,4,0.155,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",I Was Never There - The Weeknd Gesaffelstein (128).wav
Sacrifice,73,188918,The Weeknd,The Weeknd,2022-01-06,0.0296,0.735,0.795,3.18e-05,0.0678,-6.523,0.113,122.0,4,0.905,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Sacrifice - Bebe Rexha (128).wav
Take My Breath,73,339023,The Weeknd,The Weeknd,2022-01-06,0.0128,0.698,0.769,0.00166,0.238,-7.154,0.0368,121.02,4,0.354,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Take My Breath - The Weeknd (128).wav
Heartless,83,198267,The Weeknd,The Weeknd,2020-03-20,0.0236,0.537,0.746,1.01e-06,0.156,-5.507,0.15,170.062,4,0.252,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Heartless - The Weeknd (128).wav
Is There Someone Else?,86,199111,The Weeknd,The Weeknd,2022-01-06,0.0388,0.702,0.586,7.27e-05,0.156,-7.83,0.0313,134.951,4,0.608,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Is There Someone Else - The Weeknd (128).wav
Die For You,83,260253,The Weeknd,The Weeknd,2016-11-25,0.111,0.582,0.525,0.0,0.134,-7.163,0.0627,133.249,4,0.51,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Die For You - The Weeknd (128).wav
Out of Time,78,214194,The Weeknd,The Weeknd,2022-01-06,0.255,0.65,0.76,0.0,0.339,-4.422,0.0446,93.057,4,0.838,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Out of Time - The Weeknd (128).wav
Party Monster,81,249213,The Weeknd,The Weeknd,2016-11-25,0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,77.525,4,0.218,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Party Monster - The Weeknd (128).wav
Less Than Zero,76,211814,The Weeknd,The Weeknd,2022-01-06,0.00096,0.535,0.791,0.000155,0.0788,-5.55,0.0327,142.981,4,0.5,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Less Than Zero - The Weeknd (128).wav
Nothing Is Lost (You Give Me Strength),65,267505,The Weeknd,The Weeknd,2022-12-15,0.0002,0.52,0.693,2.2e-05,0.122,-7.704,0.0331,126.985,4,0.12,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Nothing Is Lost (You Give Me Strength) - The Weeknd (128).wav
Pray For Me (with Kendrick Lamar),73,211421,The Weeknd,"The Weeknd,Kendrick Lamar",2024-02-09,0.095,0.741,0.671,2.93e-05,0.181,-4.949,0.106,100.556,4,0.191,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Pray For Me - The Weeknd Kendrick Lamar (128).wav
Often,81,249040,The Weeknd,The Weeknd,2015-08-28,0.222,0.572,0.631,0.0,0.135,-9.836,0.0476,134.078,4,0.0713,The Weeknd,92,73855176,"['canadian contemporary r&b', 'canadian pop', 'pop']",Often - The Weeknd (128).wav
The Hills of Aberfeldy,59,195135,Ed Sheeran,Ed Sheeran,2023-05-05,0.872,0.436,0.19,0.0,0.0971,-7.693,0.0303,79.571,4,0.326,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",The Hills of Aberfeldy - Ed Sheeran (128).wav
F64,59,204894,Ed Sheeran,Ed Sheeran,2023-01-19,0.596,0.751,0.618,0.0,0.129,-6.643,0.324,93.728,4,0.707,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",F64 - Ed Sheeran (128).wav
Put It All on Me (feat. Ella Mai),62,197093,Ed Sheeran,"Ed Sheeran,Ella Mai",2019-07-12,0.256,0.627,0.594,0.0,0.373,-8.306,0.0479,101.007,4,0.388,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",Put It All on Me (feat. Ella Mai) - Ed Sheeran Ella Mai (12.wav
What Do I Know?,67,237333,Ed Sheeran,Ed Sheeran,2017-03-03,0.251,0.838,0.492,0.0,0.262,-5.69,0.038,115.092,4,0.895,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",What Do I Know - Ed Sheeran (128).wav
